111111111;1;20
111111111;3;8
111111111;5;15
111111111;7;12
111111111;9;8
111111111;11;6
222222222;1;10
222222222;4;6
222222222;7;18
222222222;10;12
333333333;2;12
333333333;4;7
333333333;6;10
333333333;8;3
333333333;10;30
444444444;9;11
444444444;2;5
444444444;6;10
444444444;11;11
444444444;1;8
555555555;8;3
555555555;7;8
555555555;3;9
555555555;5;14
555555555;4;2
666666666;6;1
666666666;8;5
666666666;3;7
666666666;1;6
666666666;4;9
777777777;5;12
777777777;8;13
777777777;2;10
777777777;6;4
777777777;4;8
888888888;6;9
888888888;7;5
888888888;8;9
888888888;1;13
888888888;5;7
999999999;6;8
999999999;7;9
999999999;10;15
999999999;11;6
999999999;4;3
